@relation moves

@attribute enemies_less_hp {true, false}
@attribute valid_attack_position {true, false}
@attribute healthiest_hittable {true, false}
@attribute unhealthiest_hittable {true, false}
@attribute warrior_in_range {true, false}
@attribute ranger_in_range {true, false}
@attribute mage_in_range {true, false}
@attribute priest_in_range {true, false}
@attribute warrior_status {true, false}
@attribute ranger_status {true, false}
@attribute mage_status {true, false}
@attribute priest_status {true, false}
@attribute ATTACK {11,12,13,14,21,22,23,24,31,32,33,34,41,42,43,44,5,6}

@data
false, true, true, true, true, false, true, false, false, false, false, false, 23
false, true, true, true, true, false, true, false, false, false, false, false, 23
false, true, true, true, true, false, false, false, false, false, false, false, 21
false, true, true, true, true, false, false, false, false, false, false, false, 21
false, true, true, true, true, false, false, false, false, false, false, false, 21
false, true, true, true, true, true, true, true, false, false, false, false, 12
true, true, true, true, true, true, true, true, false, false, false, false, 12
false, true, true, true, true, true, true, true, false, true, false, false, 22
true, true, true, true, true, true, true, true, false, true, false, false, 22
false, true, true, true, true, true, true, true, false, true, false, false, 22
false, true, true, true, true, false, true, true, false, false, false, true, 24
false, true, true, true, true, false, true, true, false, false, false, true, 14
false, true, true, true, true, false, true, true, false, false, true, true, 11
false, true, true, true, true, true, true, true, false, false, false, false, 12
true, true, true, true, true, true, true, true, false, false, false, false, 12
false, true, true, true, true, true, true, true, false, true, false, false, 22
true, true, true, true, true, true, true, true, false, true, false, false, 22
false, true, true, true, true, true, true, true, false, true, false, false, 24
true, true, true, true, true, true, true, true, false, true, false, false, 24
true, true, true, true, true, true, true, true, false, false, false, true, 22
false, true, true, true, true, false, true, true, false, false, true, true, 21
false, true, true, true, true, false, true, true, false, false, false, true, 23
false, true, true, true, true, false, false, true, true, false, false, true, 24
false, true, true, true, true, false, false, false, true, false, false, false, 21
false, true, true, true, true, false, false, false, true, false, false, false, 21
false, true, true, true, true, false, false, false, true, false, false, false, 21
false, true, true, true, true, true, true, true, false, false, false, false, 12
true, true, true, true, true, true, true, true, false, false, false, false, 12
false, true, true, true, true, true, true, true, false, true, false, false, 23
true, true, true, true, true, true, true, true, false, true, false, false, 23
false, true, true, true, true, true, true, true, false, true, true, false, 23
true, true, true, true, true, true, true, true, false, true, false, true, 22
false, true, true, true, true, true, false, true, false, false, false, false, 22
true, true, true, true, true, true, true, true, false, false, false, true, 22
true, true, true, true, true, false, true, true, false, false, false, true, 13
