@relation moves

@attribute attacker_name {Ranger, Mage, Warrior, Priest}
@attribute attacker_position {0,1,2,3}
@attribute enemy_one_name {Ranger, Mage, Warrior, Priest}
@attribute enemy_two_name {Ranger, Mage, Warrior, Priest}
@attribute enemy_three_name {Ranger, Mage, Warrior, Priest}
@attribute enemy_four_name {Ranger, Mage, Warrior, Priest}
@attribute enemy_one_hp {>30, 20-20, 10-20, 0-10}
@attribute enemy_two_hp {>30, 20-20, 10-20, 0-10}
@attribute enemy_three_hp {>30, 20-20, 10-20, 0-10}
@attribute enemy_four_hp {>30, 20-20, 10-20, 0-10}
@attribute enemy_one_bleeding {true, false}
@attribute enemy_two_bleeding {true, false}
@attribute enemy_three_bleeding {true, false}
@attribute enemy_four_bleeding {true, false}
@attribute enemy_one_poisoned {true, false}
@attribute enemy_two_poisoned {true, false}
@attribute enemy_three_poisoned {true, false}
@attribute enemy_four_poisoned {true, false}
@attribute enemy_one_stunned {true, false}
@attribute enemy_two_stunned {true, false}
@attribute enemy_three_stunned {true, false}
@attribute enemy_four_stunned {true, false}
@attribute enemy_priest_alive {true, false}
@attribute our_priest_alive {true, false}
@attribute we_have_less_hp {true, false}
@attribute hit_strongest {true, false}
@attribute hit_weakest {true, false}
@attribute hit_healthiest {true, false}
@attribute hit_unhealthiest {true, false}
@attribute hit_fastest {true, false}
@attribute hit_slowest {true, false}
@attribute hit_priest {true, false}
@attribute chosen_attack {1,2,3,4}
@attribute chosen_target {0, 1, 2, 3, 4, 5, 6, 7}
@attribute OUTCOME {WIN, LOSS}

@data
Ranger, 2, Warrior, Ranger, Mage, Priest, 20-30, 10-20, 10-20, 10-20, false, true, false, false, false, false, false, true, false, false, false, false, true, true, false, true, true, true, true, true, true, true, 2, 0, WIN
Mage, 1, Warrior, Ranger, Mage, Priest, 20-30, 10-20, 10-20, 0-10, false, true, false, false, false, false, false, true, false, false, false, false, true, true, false, true, true, true, true, true, true, true, 1, 3, WIN
Ranger, 1, Warrior, Ranger, Mage, Priest, >30, 20-30, 0-10, 10-20, false, false, false, false, false, false, true, false, false, false, false, false, true, true, true, true, true, true, true, true, true, true, 2, 6, LOSS
Ranger, 2, Priest, Mage, Ranger, Warrior, 0-10, 10-20, 10-20, 20-30, false, false, true, false, true, false, false, false, false, false, false, false, true, true, false, true, true, true, true, true, true, true, 4, 0, WIN
Warrior, 3, Priest, Mage, Ranger, Warrior, 0-10, 10-20, 10-20, 20-30, false, false, true, false, true, false, false, true, false, false, false, false, true, true, false, false, true, false, true, false, true, true, 1, 3, WIN
Mage, 2, Warrior, Ranger, Mage, Priest, >30, 20-30, 0, 10-20, false, false, false, false, false, false, false, false, false, false, false, false, true, true, true, true, true, true, true, true, true, true, 2, 5, LOSS
Warrior, 0, Warrior, Ranger, Mage, Priest, >30, 20-30, 0, 10-20, false, false, false, false, false, false, false, false, false, false, false, false, true, true, true, true, false, true, false, true, false, false, 6, 4, LOSS
Ranger, 2, Priest, Mage, Warrior, Ranger, 0-10, 10-20, 20-30, 10-20, false, false, false, true, true, false, true, false, false, false, false, false, true, true, false, true, true, true, true, true, true, true, 1, 3, WIN
Ranger, 0, Warrior, Ranger, Mage, Priest, >30, 20-30, 0, 10-20, false, false, false, false, false, false, false, false, false, false, false, false, true, false, true, true, true, true, true, true, true, true, 2, 7, LOSS
Priest, 0, Priest, Mage, Warrior, Ranger, 0, 10-20, 20-30, 10-20, false, false, false, false, false, false, true, false, false, false, false, false, false, true, false, true, true, true, true, true, true, true, 3, 1, WIN
Mage, 2, Warrior, Ranger, Mage, Priest, >30, 20-30, 0, 10-20, false, false, false, false, false, false, false, false, false, false, false, false, true, false, true, true, true, true, true, true, true, true, 3, 4, LOSS
Ranger, 2, Priest, Mage, Warrior, Ranger, 0, 10-20, 10-20, 10-20, false, false, false, false, false, false, true, false, false, false, false, false, false, true, false, true, true, true, true, true, true, true, 1, 2, WIN
Ranger, 0, Warrior, Ranger, Mage, Priest, 20-30, 20-30, 0, 10-20, false, false, false, false, false, false, false, false, false, false, false, false, true, false, true, true, true, true, true, true, true, true, 4, 7, LOSS
Warrior, 3, Priest, Mage, Warrior, Ranger, 0, 10-20, 10-20, 10-20, false, true, false, false, false, false, true, false, false, false, false, false, false, true, false, false, false, false, false, false, false, true, 1, 2, WIN
Ranger, 2, Priest, Mage, Warrior, Ranger, 0, 10-20, 10-20, 10-20, false, true, false, false, false, false, true, false, false, false, false, false, false, true, false, true, true, true, true, true, true, true, 4, 0, WIN
Mage, 2, Warrior, Ranger, Mage, Priest, 20-30, 20-30, 0, 10-20, false, false, false, false, false, false, false, false, false, false, false, false, true, false, true, true, true, true, true, true, true, true, 3, 4, LOSS
Ranger, 0, Warrior, Ranger, Mage, Priest, 10-20, 20-30, 0, 10-20, false, false, false, false, false, false, false, false, false, false, false, false, true, false, true, true, true, true, true, true, true, true, 2, 4, LOSS
Warrior, 1, Warrior, Ranger, Mage, Priest, 0-10, 20-30, 0, 10-20, false, false, false, false, false, false, false, false, false, false, false, false, true, false, true, true, false, true, true, true, false, false, 6, 4, LOSS
Ranger, 2, Priest, Warrior, Mage, Ranger, 0, 10-20, 10-20, 10-20, false, false, true, false, false, true, false, false, false, false, false, false, false, true, false, true, true, true, true, true, true, true, 3, 2, WIN
Warrior, 3, Priest, Warrior, Mage, Ranger, 0, 10-20, 10-20, 10-20, false, false, true, false, false, true, false, false, false, false, false, false, false, true, false, true, false, false, true, false, true, true, 1, 2, WIN
Ranger, 0, Warrior, Ranger, Mage, Priest, 0-10, 20-30, 0, 10-20, false, false, false, false, false, false, false, false, false, false, false, false, true, false, true, true, true, true, true, true, true, true, 2, 4, LOSS
Ranger, 2, Priest, Warrior, Mage, Ranger, 0, 0-10, 10-20, 10-20, false, false, true, false, false, true, false, false, false, false, false, false, false, true, false, true, true, true, true, true, true, true, 2, 0, WIN
Mage, 1, Warrior, Ranger, Mage, Priest, 0, 20-30, 0, 10-20, false, false, false, false, false, false, false, false, false, false, false, false, true, false, true, true, true, true, true, true, true, true, 2, 5, LOSS
Priest, 0, Priest, Warrior, Mage, Ranger, 0, 0-10, 0-10, 0-10, false, false, true, false, false, true, false, false, false, false, false, false, false, true, false, true, true, true, true, true, true, true, 4, 1, WIN
Ranger, 2, Priest, Warrior, Mage, Ranger, 0, 0-10, 0-10, 0-10, false, false, true, false, false, true, true, false, false, false, false, false, false, true, false, true, true, true, true, true, true, true, 2, 2, WIN
Ranger, 0, Warrior, Ranger, Mage, Priest, 0, 20-30, 0, 10-20, false, false, false, false, false, false, false, false, false, false, false, false, true, false, true, true, true, true, true, true, true, true, 2, 7, LOSS
Mage, 1, Warrior, Ranger, Mage, Priest, 0, 20-30, 0, 0-10, false, false, false, false, false, false, false, false, false, false, false, false, true, false, true, true, true, true, true, true, true, true, 1, 4, LOSS
Ranger, 1, Priest, Warrior, Mage, Ranger, 0, 0, 0-10, 0-10, false, false, false, false, false, false, true, false, false, false, false, false, false, true, false, true, true, true, true, true, true, true, 2, 1, WIN
Ranger, 0, Priest, Mage, Ranger, Warrior, 0-10, 0, 20-30, 0, false, false, false, false, false, false, false, false, false, false, false, false, true, false, true, true, true, true, true, true, true, true, 2, 4, LOSS
Ranger, 1, Priest, Warrior, Mage, Ranger, 0, 0, 0-10, 0-10, false, false, false, false, false, false, true, false, false, false, false, false, false, false, false, true, true, true, true, true, true, true, 2, 1, WIN
Ranger, 0, Priest, Mage, Ranger, Warrior, 0, 0, 20-30, 0, false, false, false, false, false, false, false, false, false, false, false, false, false, false, true, true, true, true, true, true, true, true, 2, 6, LOSS
Ranger, 1, Priest, Warrior, Mage, Ranger, 0, 0, 0, 0-10, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, true, true, true, true, true, true, true, 2, 0, WIN
Ranger, 2, Warrior, Ranger, Mage, Priest, >30, 20-30, 10-20, 10-20, false, false, false, false, false, false, false, false, false, false, false, false, true, true, false, true, true, true, true, true, true, true, 4, 0, WIN
Ranger, 2, Warrior, Ranger, Mage, Priest, >30, 20-30, 10-20, 10-20, false, false, false, false, false, false, false, false, false, false, false, false, true, true, false, true, true, true, true, true, true, true, 1, 2, LOSS
Ranger, 2, Warrior, Ranger, Mage, Priest, >30, 20-30, 10-20, 10-20, false, false, false, false, false, false, false, false, false, false, false, false, true, true, false, true, true, true, true, true, true, true, 2, 5, WIN
Mage, 1, Warrior, Ranger, Mage, Priest, >30, 10-20, 10-20, 10-20, false, false, false, false, false, false, false, false, false, false, false, false, true, true, false, true, true, true, true, true, true, true, 2, 5, WIN
Mage, 1, Warrior, Ranger, Mage, Priest, >30, 20-30, 10-20, 10-20, false, false, false, false, false, false, false, false, false, false, false, false, true, true, true, true, true, true, true, true, true, true, 3, 3, LOSS
Ranger, 2, Warrior, Ranger, Mage, Priest, 20-30, 20-30, 10-20, 10-20, false, false, false, false, false, false, false, false, false, false, false, false, true, true, false, true, true, true, true, true, true, true, 2, 2, LOSS
Warrior, 3, Warrior, Ranger, Mage, Priest, 20-30, 20-30, 10-20, 10-20, false, false, false, false, false, false, false, false, false, false, false, false, true, true, false, true, false, true, false, true, false, false, 2, 2, LOSS
Ranger, 2, Warrior, Ranger, Mage, Priest, >30, 10-20, 10-20, 10-20, false, false, false, false, false, false, false, false, false, false, false, false, true, true, true, true, true, true, true, true, true, true, 2, 5, WIN
Warrior, 3, Warrior, Ranger, Mage, Priest, >30, 10-20, 10-20, 10-20, false, false, false, false, false, false, false, false, false, false, false, false, true, true, true, true, false, true, true, true, false, false, 2, 5, WIN
Mage, 1, Warrior, Ranger, Mage, Priest, >30, 0, 10-20, 10-20, false, false, false, false, false, false, false, false, false, false, false, false, true, true, false, true, true, true, true, true, true, true, 3, 4, WIN
Priest, 0, Warrior, Ranger, Mage, Priest, 20-30, 0, 10-20, 10-20, false, false, false, false, false, false, false, false, false, false, false, false, true, true, false, true, true, true, true, true, true, true, 4, 4, WIN
Mage, 1, Warrior, Ranger, Mage, Priest, 20-30, 10-20, 10-20, 10-20, false, false, false, false, false, false, false, false, false, false, false, false, true, true, true, true, true, true, true, true, true, true, 2, 2, LOSS
Ranger, 2, Warrior, Ranger, Mage, Priest, 20-30, 0, 10-20, 10-20, false, false, false, false, true, false, false, false, false, false, false, false, true, true, false, true, true, true, true, true, true, true, WIN
Priest, 0, Warrior, Ranger, Mage, Priest, 20-30, 10-20, 10-20, 10-20, false, false, false, false, false, false, false, false, false, false, false, false, true, true, true, true, true, true, true, true, true, true, 4, 2, LOSS
Mage, 1, Warrior, Ranger, Mage, Priest, 20-30, 0, 10-20, 10-20, false, false, false, false, true, false, false, false, false, false, false, false, true, true, false, true, true, true, true, true, true, true, 2, 4, WIN
Ranger, 2, Warrior, Ranger, Mage, Priest, 10-20, 0, 10-20, 10-20, false, false, false, false, true, false, false, false, true, false, false, false, true, true, false, true, true, true, true, true, true, true, 2, 4, WIN
Warrior, 3, Warrior, Ranger, Mage, Priest, 20-30, 0-10, 10-20, 10-20, false, false, false, false, false, true, false, false, false, false, false, false, true, true, true, true, false, true, true, true, false, false, LOSS
Mage, 1, Warrior, Ranger, Mage, Priest, 20-30, 0-10, 10-20, 10-20, false, false, false, false, false, true, false, false, false, false, false, false, true, true, true, true, true, true, true, true, true, true, 2, 2, LOSS
Mage, 1, Warrior, Ranger, Mage, Priest, 10-20, 0, 10-20, 10-20, false, false, false, false, true, false, false, false, false, false, false, false, true, true, false, true, true, true, true, true, true, true, 2, 4, WIN
Warrior, 3, Warrior, Ranger, Mage, Priest, 10-20, 0, 10-20, 10-20, false, false, false, false, true, false, false, false, false, false, false, false, true, true, false, true, false, false, true, false, false, false, 2, 4, WIN
Priest, 0, Warrior, Ranger, Mage, Priest, 0-10, 0, 10-20, 10-20, false, false, false, false, true, false, false, false, false, false, false, false, true, true, false, true, true, true, true, true, true, true, 3, 4, WIN
Mage, 1, Warrior, Ranger, Mage, Priest, 20-30, 0, 10-20, 10-20, false, false, false, false, false, false, false, false, false, false, false, false, true, true, true, true, true, true, true, true, true, true, 3, 3, LOSS
Mage, 1, Warrior, Ranger, Mage, Priest, 0, 0, 10-20, 10-20, false, false, false, false, false, false, false, false, false, false, false, false, true, true, false, true, true, true, true, true, true, true, 1, 4, WIN
Priest, 3, Warrior, Ranger, Mage, Priest, 20-30, 0, 10-20, 10-20, false, false, false, false, false, false, false, false, false, false, false, false, true, true, true, true, true, true, true, true, true, true, 5, 3, LOSS
Warrior, 3, Mage, Priest, Ranger, Warrior, 10-20, 10-20, 0, 0, false, false, false, false, false, false, false, false, false, false, false, false, true, true, false, true, true, true, true, true, true, true, 2, 5, WIN
Mage, 1, Mage, Priest, Ranger, Warrior, 10-20, 0-10, 0, 0, false, false, false, false, false, false, false, false, false, false, false, false, true, true, false, true, true, true, true, true, true, true, 2, 4, WIN
Mage, 3, Warrior, Ranger, Mage, Priest, 20-30, 0, 10-20, 10-20, false, false, false, false, false, false, false, false, false, false, false, false, true, true, true, true, true, true, true, true, true, true, 3, 3, LOSS
Priest, 0, Mage, Priest, Ranger, Warrior, 10-20, 0-10, 0, 0, false, false, false, false, false, false, false, false, false, false, false, false, true, true, false, true, true, true, true, true, true, true, 2, 3, WIN
Mage, 1, Mage, Priest, Ranger, Warrior, 10-20, 0-10, 0, 0, false, false, false, false, false, false, false, false, false, false, false, false, true, true, false, true, true, true, true, true, true, true, 2, 5, WIN
Mage, 3, Warrior, Ranger, Mage, Priest, 20-30, 0, 10-20, 10-20, false, false, false, false, false, false, false, false, false, false, false, false, true, false, true, true, true, true, true, true, true, true, 3, 3, LOSS
Warrior, 3, Mage, Priest, Ranger, Warrior, 10-20, 0, 0, 0, false, false, false, false, false, false, false, false, false, false, false, false, false, true, false, true, true, true, true, true, true, true, 2, 4, WIN
Mage, 1, Mage, Priest, Ranger, Warrior, 10-20, 0, 0, 0, false, false, false, false, false, false, false, false, false, false, false, false, false, true, false, true, true, true, true, true, true, true, 2, 4, WIN
Mage, 3, Warrior, Ranger, Mage, Priest, 10-20, 0, 10-20, 10-20, false, false, false, false, false, false, false, false, false, false, false, false, true, false, true, true, true, true, true, true, true, true, 3, 3, LOSS
Mage, 1, Mage, Priest, Ranger, Warrior, 10-20, 0, 0, 0, false, false, false, false, false, false, false, false, false, false, false, false, false, true, false, true, true, true, true, true, true, true, 2, 4, WIN
Priest, 0, Mage, Priest, Ranger, Warrior, 10-20, 0, 0, 0, false, false, false, false, false, false, false, false, false, false, false, false, false, true, false, true, true, true, true, true, true, true, 2, 3, WIN
Warrior, 3, Mage, Priest, Ranger, Warrior, 10-20, 0, 0, 0, false, false, false, false, false, false, false, false, false, false, false, false, false, true, false, true, true, true, true, true, true, true, 2, 4, WIN
Mage, 3, Warrior, Ranger, Mage, Priest, 0-10, 0, 10-20, 10-20, false, false, false, false, false, false, false, false, false, false, false, false, true, false, true, true, true, true, true, true, true, true, 3, 3, LOSS
Mage, 1, Mage, Priest, Ranger, Warrior, 0-10, 0, 0, 0, false, false, false, false, false, false, false, false, false, false, false, false, false, true, false, true, true, true, true, true, true, true, 1, 7, WIN
